SERPINA1,SERPINF2,A2M,SERPINA3,GOT1,ABCA7,ADIPOQ,ALDOA,APOA4,APOE,APP,B4GT1,BCHE,BST1,C3,CAPN2,CATHB2,CCL4,CD5L,CDKL5,COL6A3,C4A,CP,CPS1,CRISPLD1,CRP,CSF1R,CYCS,CST3,DCXR,DKK3,DNAH1,DNAH12,FABP5,FGA,FGF2,FGF21,GM2A,GOLM1,GOLT1A,GRN,GDA,HBE1,HPX,HSPA1L,HSP90AB1,HSCB,HSPA8,HSPA5,SERPING1,ICAM1,IGHA2,IGHE,IL4,ITIH2,LAMP1,SELE,MASP2,MIEN1,MMP3,MSN,MYO10,NCAM1,NCAM2,NEFH,NEFL,NEFM,NPC2,NRP1,OLR1,HEXA,CTSB,CTSH,PEBP1,SERPINF1,PLD3,PRDX3,PRG4,QSOX1,RSF1,S100.A9,SAA1,GM2A.1,SCRG1,SIRT2,SOD3,SPP2,TCHHL1,TFEB,TNNT3,TRAP1,TUBA4A,UHRF1BP1L,VCAM1,X12ANY
21.09578,24.23981,21.00957,20.40781,13.51558,19.80674,15.71561,19.29021,25.32083,23.58819,15.78369,16.13993,19.45986,15.54505,0,17.05442,17.99982,15.80904,18.15121,14.79416,16.15385,26.99885,17.33308,0,16.80008,20.91058,14.41277,19.30811,18.78312,17.11666,16.4546,19.65073,15.86329,14.39279,15.65259,22.63669,27.81489,14.22964,15.66375,20.14707, <NA> ,16.52667,19.70068,23.4055,17.78028,20.65501,16.00604,15.90621,17.5058,21.98854,12.61907,14.62748,0,18.30613,24.11037,16.97825,22.44534,23.20674,20.45875,16.59821,14.02851,13.5032,16.57476,19.762,16.55841,16.50821,20.28896,11.07079,13.70033,16.96703,0,17.99982,20.14707,17.80569,18.85791,22.91545,17.708,19.52442,21.41241,0,23.06761,16.86195,14.22964,20.18388,0,18.9661,19.14348,15.56006,22.31869,0,17.96641,14.68338,18.99676,17.20525,1
14.27401,11.66222,14.46474,15.44834,0,0,0,13.59933,14.61603,12.50457,0,12.7463,0,0,14.25938,10.25385, <NA> ,11.61241,0,0,0,16.77457,0,0,0,12.21402,0,13.81488,12.06036,0,0,0,0,0,0,0,19.69559,0,0,0, <NA> ,0,0,14.62177,0,11.33929,0,13.47814,0,18.72104,0,0,0,0,16.30761,9.330917,11.54641,9.698705,0,0,0,0,0,16.06405,0,10.19353,0,0,0,0,0,10.19353,10.14338,0,16.06615,10.14338,0,12.09375,11.11048,0,12.82992,15.35504,0,0,9.396605,0,0,0,7.499846,0,0,0,9.005625,0,0
20.4487,24.22517,20.0965,20.08357,12.50457,19.56032,15.21792,19.44781,25.13755,23.52983,18.36714,16.47692,18.82722,15.64979,0,12.96055,17.60321,16.42211,17.56652,13.45263,15.4124,26.8033,16.78738,0,18.12622,19.76525,13.0086,19.01865,18.56611,14.97974,16.76164,19.73415,17.75441,14.69974,15.90386,21.9989,27.75246,14.252,16.48323,20.21976, <NA> ,15.96152,19.64897,22.56642,17.38457,22.69309,15.25897,16.95573,18.04852,21.80779,13.58766,14.00238,12.71446,17.68764,23.79065,16.81267,21.08285,23.01412,19.50903,15.40245,14.41937,13.4397,15.9109,19.16573,16.80008,16.04923,19.75387,12.52185,14.22212,17.68764,0,17.60321,20.08357,19.63487,18.80848,22.98661,18.77671,18.40504,21.02317,0,22.31593,16.25877,13.95774,19.57701,0,19.32358,18.99123,15.32724,21.57824,0,18.24707,14.6045,20.68098,16.83752,0
20.92514,24.52319,21.50257,19.80043,13.47814,19.82083,16.00385,20.61962,24.73434,23.12709,14.74772,16.77457,18.42157,15.91791,0,13.12944,17.46651,15.68308,18.26091,13.51558,15.42885,26.87539,17.10647,0,17.1468,19.77009,15.68855,19.38808,18.74423,16.81267,15.14015,19.29021,17.70125,14.37931,15.82652,23.21861,27.90375,17.58131,15.15209,20.15945, <NA> ,16.32001,19.7325,22.68241,17.69446,21.61464,15.04521,16.11981,17.43429,21.86178,15.01502,12.21098,11.60316,18.2655,24.07815,17.02227,21.1086,23.17815,20.83546,15.81906,14.5149,14.81933,15.85358,19.6008,15.36191,15.93643,20.27766,0,0,17.1468,17.00043,17.46651,19.67333,18.76704,18.65617,22.78179,17.00043,18.03784,21.20724,0,21.6011,16.12588,17.58131,19.77009,0,18.7177,18.92321,15.17956,21.91383,0,17.79304,15.40909,19.05883,16.25877,0
21.59656,24.19544,20.32236,20.30018,13.59933,18.72104,15.72363,20.37635,25.47417,23.48137,18.76704,16.51285,19.27892,14.68338,0,17.70125,18.42567,16.31824,18.98568,9.207014,15.24418,25.83632,16.80008,0,18.02167,19.53205,14.36571,19.89964,18.26091,16.19289,15.85844,19.84707,16.5113,13.91167,16.84978,22.4352,27.86296,15.41571,14.78908,20.30018, <NA> ,16.81267,19.16818,22.95679,17.68764,22.29365,15.99504,16.86195,17.70125,21.70181,13.12137,10.88493,0,18.2655,23.72973,17.80569,21.65014,23.15979,19.84707,16.1479,14.64448,13.88331,14.71054,19.65423,17.06498,16.77457,17.7413,12.82595,0,16.31648,16.11981,18.42567,20.15945,19.80201,18.78632,22.21285,18.24707,18.86094,21.28269,0,21.65014,16.50821,15.86812,18.07489,0,19.5071,18.64917,15.07477,21.6236,0,18.48978,15.82652,20.61962,16.37366,0
21.32175,23.22892,17.7347,18.70087,15.51456,18.98568,0,14.36571,24.56448,23.57671,17.32431,13.88331,18.5809,15.99061,16.76164,14.77885, <NA> ,17.93797,15.79388,11.64881,14.40614,26.72743,16.00385,16.03426,16.08495,15.85601,14.86356,14.71054,20.0965,17.2977,15.86087,20.52718,17.708,19.34106,18.16109,19.39856,24.35858,17.30662,0,16.12386, <NA> ,16.84978,0,15.25529,22.36749,21.02317,15.14015,21.82342,16.77457,21.05,0,0,0,17.40965,21.33271,18.67697,18.24707,18.74094,15.9456,0,16.13993,16.78738,13.99356,0,17.02227,0,18.75078,13.49073,14.39279,11.64881,18.24707,16.38044,14.0794,16.77457,18.06965,20.61962,13.51558,18.68384,18.0801,15.68855,20.43859,16.30761,17.30662,19.24449,0,16.82515,17.9943,0,19.63487,0,18.76704,17.87934,17.35045,18.37988,0
18.89093,23.91444,20.32236,19.05354,13.45263,20.10931,17.05442,20.73158,24.96768,23.66613,18.2517,15.9015,18.50925,15.49282,16.54338,17.46651,17.86127,14.01114,18.75731,13.4397,16.3323,27.02021,17.41791,0,17.52887,20.26626,15.14015,19.35619,18.67007,16.49265,17.5058,21.80779,18.2837,14.9842,17.00043,22.91545,27.78401,16.76164,15.33074,20.08357,0,16.86195,19.54342,23.04612,12.66866,21.48302,15.59254,17.54405,17.06498,20.62855,11.49735,0,11.11048,18.31057,23.43124,16.86195,23.16593,22.77778,20.17171,15.25529,18.70425,12.69501,15.51764,19.60623,16.01696,17.08588,20.18388,15.15209,12.98566,16.80008,15.37894,17.86127,20.40781,18.47005,17.51353,23.08717,13.49073,18.53226,21.48793,16.97825,18.98568,16.34968,16.76164,19.74075,15.6693,23.19927,18.78312,10.58965,21.48793,10.19353,19.91139,0,15.68855,17.06498,0
19.73415,23.95048,20.08357,19.27892,13.4397,20.47863,16.80008,20.64624,24.35186,23.87747,17.18603,15.95245,18.60281,16.08288,18.46208,17.46651,18.05384,16.25324,17.80569,13.81488,15.82652,27.36712,17.00043,0,16.78738,19.07198,14.82928,19.25375,18.53985,15.26265,17.51353,21.1086,17.71472,14.82928,17.18603,22.56177,27.90948,17.34179,15.9015,19.76525,0,16.82515,18.9203,22.44786,14.15252,22.04963,15.17176,16.78738,18.01624,20.86598,13.10509,11.89595,0,18.44197,23.57671,16.26611,24.08627,21.85038,18.76381,16.06825,17.33308,13.18936,16.34275,19.04557,16.59238,17.34179,20.2432,9.038919,0,13.25281,15.66097,18.05384,19.22579,18.43791,18.27007,22.73296,14.80932,18.27917,21.44814,16.4352,21.17713,15.91791,17.34179,19.4738,16.12184,23.44394,19.18522,7.942515,20.72327,0,19.25606,15.24046,20.50796,16.58653,0
21.43802,24.78512,20.90324,20.62855,13.51558,19.46585,16.84978,19.93029,25.51084,24.02843,0,16.56139,12.00878,17.69446,15.99061,17.88531, <NA> ,14.80428,0,0,16.06194,26.82773,17.55907,14.22964,17.1468,20.40781,11.29405,19.89816,18.73434,17.27967,15.24418,18.84571,15.07058,13.16601,15.52378,0,27.94342,15.22547,13.10509,20.2079, <NA> ,17.00043,19.7325,23.49364,17.55907,21.38633,16.12184,14.36571,17.42613,22.30204,13.54001,12.82794,10.24198,14.38606,24.35186,17.35045,20.08357,23.62211,17.52887,16.92127,15.95245,13.81488,16.49109,19.39856,16.53884,14.01114,20.38691,13.72185,0,16.06825,16.06825,17.10647,20.57414,19.14099,19.43972,20.0965,14.95724,19.03486,21.60563,0,21.26563,16.58213,15.22547,19.9216,0,0,0,15.76567,22.346,0,16.06405,15.21792,19.80988,16.77457,1
21.05663,24.41126,20.45875,20.2432,12.01576,19.88034,13.45263,20.15945,25.42057,24.3451,15.25529,16.76164,19.80043,16.50976,16.00165,17.55907,18.24707,14.37253,17.93797,11.85759,16.04497,26.74035,17.17632,0,17.39298,19.87434,13.5032,19.56776,19.02948,17.27967,15.53293,19.58804,16.76164,14.6045,16.31824,22.24514,27.86886,15.34121,16.18129,20.32236, <NA> ,16.88597,19.70744,23.43124,18.01078,21.7639,14.94357,15.90386,17.7413,22.08897,15.02804,11.14911,0,18.18549,24.46208,17.2977,22.98313,23.44394,20.68098,16.25877,0,13.6451,16.83752,19.13097,16.588,16.54036,20.15945,0,13.15498,16.36514,15.85601,18.24707,19.82238,19.10562,18.68384,23.00386,17.96077,19.00775,21.71444,14.82928,22.30761,17.41791,15.42229,20.25478,0,19.46186,18.45005,15.64417,22.39391,0,18.2837,14.12856,14.79923,17.1468,0