ID,RUN,SERPINA1,SERPINF2,A2M,SERPINA3,GOT1,ABCA7,ADIPOQ,ALDOA,APOA4,APOE,APP,B4GT1,BCHE,BST1,C3,CAPN2,CCL4,CD5L,CDKL5,COL6A3,C4A,CP,CPS1,CRISPLD1,CRP,CSF1R,CYCS,CST3,DCXR,DKK3,DNAH1,DNAH12,FABP5,FGA,FGF2,FGF21,GM2A,GOLM1,GOLT1A,GDA,HBE1,HPX,HSPA1L,HSP90AB1,HSCB,HSPA8,HSPA5,SERPING1,ICAM1,IGHA2,IGHE,IL4,ITIH2,LAMP1,SELE,MASP2,MIEN1,MMP3,MSN,MYO10,NCAM1,NCAM2,NEFH,NEFL,NEFM,NPC2,NRP1,OLR1,HEXA,CTSB,CTSH,PEBP1,SERPINF1,PLD3,PRDX3,PRG4,QSOX1,RSF1,S100.A9,SAA1,SCRG1,SIRT2,SOD3,SPP2,TCHHL1,TFEB,TNNT3,TRAP1,TUBA4A,UHRF1BP1L,VCAM1
17,9,18.85182,23.52983,19.51867,18.79269,13.99356,19.52059,16.07663,20.10931,24.75487,23.62211,16.12386,15.70755,19.35834,0,17.82446,17.20525,16.39056,0,12.3666,16.02996,26.41395,17.36761,0,17.12678,20.08357,14.52105,18.96328,18.40088,15.92256,15.58962,21.15259,18.15121,14.86839,17.40134,22.1615,27.90375,17.08588,15.81656,20.2432,16.88597,19.52059,22.76772,12.17086,21.77198,15.08311,15.23672,17.39298,21.05,12.27932,13.97576,10.91513,18.05384,23.49364,17.27967,23.48137,22.8971,20.4487,15.01502,0,13.03118,15.27361,20.0965,18.02708,15.64135,18.89685,0,14.93898,17.7413,15.44834,17.76092,19.74896,18.5208,17.36761,22.66299,15.45478,17.83066,21.225,15.93643,20.54615,13.63379,19.46386,16.78738,23.80056,18.55866,12.5243,21.42783,12.8319,19.18037,15.60128,17.79938,16.92127
18,9,18.86397,24.13407,18.98011,18.75405,13.46544,20.17171,15.81406,20.67238,24.46208,23.5058,18.2837,16.24397,18.73102,15.96828,18.35858,15.97726,16.05136,18.15616,12.407,15.97502,27.18055,17.20525,0,17.71472,20.08357,15.66375,19.45585,18.73764,15.55408,13.46544,21.83504,18.44197,15.00189,16.88597,21.90283,27.90375,16.19866,15.82652,20.12201,16.76164,19.27665,22.50957,13.16444,21.6011,17.03307,16.42211,17.69446,20.91058,14.4711,13.46544,12.03995,18.166,23.64429,16.57032,22.99699,22.47286,20.17171,15.66375,18.66314,13.61091,16.26428,19.7325,16.27341,16.84978,19.46784,14.5574,12.51939,17.70125,0,17.75441,20.2079,18.31057,17.96077,22.99871,15.17956,17.90895,21.45819,16.9096,21.68051,16.12789,20.08357,15.76567,23.07416,18.48978,10.94471,21.32724,12.16145,19.3454,16.13192,17.24294,17.00043
33,9,19.07982,24.3315,19.36903,19.13599,13.2454,19.37753,16.41222,20.10931,24.66553,22.96915,11.69305,16.77457,19.47182,17.76092,17.7347,18.02708,14.39948,17.23361,0,16.20249,26.49092,17.68764,0,17.02227,21.07634,14.09597,19.85622,18.66314,17.27058,16.4546,21.45318,17.32431,14.96177,16.84978,21.9989,27.76516,16.38887,15.04093,19.88928,17.01139,18.99123,22.82126,12.33901,21.50257,15.09964,16.0278,17.40134,21.00957,13.20166,12.67309,11.39393,18.52845,23.8868,17.08588,22.45792,22.72466,20.36571,13.95774,18.2655,13.89283,15.32724,19.63132,16.52208,16.5836,20.14707,15.22547,11.73598,17.69446,0,17.47446,20.14707,18.25631,17.81823,22.30761,0,18.24707,21.58743,16.42376,21.02317,14.26671,19.63309,16.01478,22.58946,19.08761,13.22747,21.40203,12.96235,19.36903,15.54203,15.34814,17.10647
38,9,19.11327,23.92353,19.33453,19.32578,13.47814,19.8486,15.35159,19.84094,23.82018,22.28521,15.86812,15.47709,19.13097,16.31648,17.71472,18.02167,16.26428,16.53429,10.41045,15.07058,26.8033,16.76164,0,16.88597,19.81927,14.68338,19.31918,18.76056,17.33308,17.41791,20.89586,18.13627,13.921,16.5836,21.86178,28.14156,17.33308,15.06638,20.23153,16.26611,19.52442,22.71211,13.11813,19.69899,13.4397,16.17155,16.81267,21.33271,14.61603,12.50457,0,18.40919,23.75033,16.44816,22.57337,23.13024,20.27766,16.588,0,14.61603,15.65259,19.70575,16.21582,17.18603,20.08357,13.49073,12.14561,15.52989,0,17.708,20.3974,18.43384,17.21476,22.54772,15.49907,16.5113,20.78844,16.84978,20.45875,15.4124,19.37965,16.20822,23.41843,18.7277,12.58426,21.08933,0,18.65966,14.92977,16.4546,17.00043
39,9,19.12341,23.79065,17.9148,19.13348,14.08771,19.76848,13.24837,20.76435,24.37193,23.55346,18.66661,15.68308,19.05089,16.22715,19.12594,17.71472,16.4006,16.35313,12.70801,15.34814,26.88706,16.53884,0,18.39251,19.58254,13.97576,20.14707,19.01048,16.1578,17.17632,21.89915,19.04022,16.32001,18.27463,21.92111,28.04589,17.57394,16.25324,20.54615,16.34968,19.44982,22.72881,13.49073,22.81149,15.14015,16.02996,17.10647,20.37635,14.02851,12.01228,0,18.86094,23.90528,17.10647,24.40478,22.14914,20.2079,15.17176,18.44197,13.19245,13.67849,19.53775,16.04283,17.03307,19.83323,0,13.57589,16.55841,15.27725,18.83649,19.90406,19.45184,17.2977,23.12236,15.50528,18.1709,21.50742,17.00043,19.19246,13.57589,20.08357,15.76567,23.96817,19.12341,13.84461,20.59251,12.76508,20.15945,15.89914,15.80148,16.86195
44,9,19.16327,23.09364,17.48236,18.67007,14.37253,19.45585,13.82486,20.0965,23.76052,23.57671,16.19866,15.2027,18.76381,0,18.29271,17.68764,16.36856,16.88597,13.15971,14.63317,27.29886,16.59092,0,16.76164,20.4284,14.26671,20.08357,18.27463,16.07245,14.86839,21.992,18.78312,13.86409,17.02227,21.86178,27.75882,17.35045,15.56305,19.85012,16.92127,19.23283,22.35947,13.46544,20.81996,14.6557,16.12789,16.53429,20.47863,7.741467,11.74861,7.741467,18.14126,23.48137,16.80008,24.62707,22.41986,20.1346,15.43538,0,12.69065,14.71054,19.24449,16.80008,17.27967,19.31254,0,0,13.54001,14.71591,19.05883,19.86682,18.19032,16.93285,22.42499,16.12991,17.01139,21.08285,16.56437,19.43972,13.88331,19.5225,17.2977,24.78512,17.79304,13.49073,20.10931,12.12638,18.51696,16.4546,18.26091,16.77457
45,9,19.17307,23.82018,18.17578,19.23751,12.53649,20.1346,17.87934,21.25989,24.80494,24.92303,19.23049,15.76308,19.63487,17.08588,19.57517,17.83066,14.54539,17.708,12.92017,15.25897,27.00957,16.84978,0,17.7413,20.14707,14.52717,20.2432,18.9203,16.19674,16.84978,22.10505,19.71584,14.85385,17.72141,22.08573,27.92088,17.7347,16.76164,20.78844,17.43429,19.55096,23.03777,13.06861,21.57363,16.53732,16.82515,17.17632,20.79639,14.92514,0,0,18.57722,23.61089,17.70125,23.78068,22.61439,19.33016,16.48166,0,14.11236,15.79642,19.46386,16.84978,15.99283,19.45385,15.09964,14.26671,13.97576,14.22212,18.67697,19.69559,18.50537,18.27917,22.95147,15.95925,19.16327,21.65014,17.84298,21.45318,16.76164,19.87434,0,23.70884,19.05619,11.11048,20.36571,11.52699,20.55554,14.85385,16.21202,16.83752
54,9,19.25836,23.82988,18.2655,18.98568,11.60779,20.17171,16.04497,20.6016,24.3451,23.55346,18.69748,16.27887,18.76381,16.25324,19.63487,14.61603,16.76164,15.43212,0,15.9015,27.53231,17.00043,0,17.72807,20.30018,16.25508,20.61962,18.87901,17.00043,16.57771,22.13041,19.39018,13.51558,17.7413,22.24223,28.01431,17.72807,16.77457,20.57414,16.84978,19.4817,23.45652,13.94864,21.73112,15.60128,17.51353,17.31549,20.72327,15.12812,11.30549,0,18.85182,23.17205,16.94433,23.75033,22.88969,19.07982,16.33579,18.99123,14.36571,13.70033,18.85791,16.49421,16.77457,20.17171,13.97576,13.75353,16.50201,0,18.76381,19.90111,18.76381,16.80008,23.03441,15.24046,17.69446,21.31623,14.97527,21.66757,15.71829,19.762,0,23.91444,18.15616,13.80484,20.66372,12.35011,19.62954,16.11981,16.84978,17.01139
67,9,19.44174,24.17273,17.71472,19.63309,13.46544,20.36571,12.32783,20.43859,24.44954,24.74464,16.48323,15.82652,19.11835,15.55707,18.65966,17.71472,17.10647,19.14845,12.08381,16.36685,27.49466,17.00043,0,17.69446,19.57701,14.06264,19.44982,18.65267,15.46119,16.77457,22.03292,19.49933,14.78908,17.45049,21.82342,27.80877,18.13125,16.0407,20.67238,16.78738,19.38808,22.96563,13.2454,21.58743,15.33074,16.83752,17.05442,21.29956,13.59933,13.5032,8.611025,18.42567,23.58819,17.03307,24.43689,22.49987,19.71584,15.58376,0,15.06217,14.41937,19.08242,17.40965,17.23361,19.55096,14.36571,0,15.14015,16.42867,19.37965,19.66468,18.5919,17.71472,23.07089,15.70215,18.43384,21.77198,16.13793,21.06323,15.99945,20.14707,0,24.43053,19.23984,12.68628,20.7065,12.72515,19.5659,14.09597,17.86732,17.02227
79,9,19.55845,23.469,18.99951,19.40896,13.18936,19.46386,17.41791,15.83395,24.01147,23.4055,18.67697,15.64417,18.60643,0,16.30939,17.84911,14.40614,15.2845,13.03291,15.23672,26.72743,17.47446,0,16.83752,16.83752,12.83585,18.9203,18.67007,16.76164,16.11779,19.88928,18.60281,15.38569,16.22149,22.18287,27.86296,16.83752,16.83752,19.64017,16.82515,18.85182,22.73296,17.84298,22.17069,14.97078,16.86195,16.80008,21.7435,13.5032,0,10.42101,18.2655,23.70884,17.17632,17.5058,22.40694,19.10306,16.18129,14.47744,15.66375,13.26605,20.86598,15.71829,16.31471,20.71491,14.24459,13.76394,16.41057,0,17.21476,19.57517,18.50925,16.80008,22.56642,14.84407,17.31549,20.91058,15.33773,19.89816,15.64698,19.59352,0,23.82018,16.86195,12.33343,22.10505,0,19.22107,15.90856,16.2044,18.31057